"ParticipantID";"Phase";"PositionPointerX";"PositionPointerY";"PositionPointerZ";"OrientationPointerX";"OrientationPointerY";"OrientationPointerZ";"OrientationPointerW";"ElapsedTime";"Timestamp";"Direction1";"Direction2";"Direction3";"Method";"Model";"Gender";"StereoTest";"Sample";"TargetDistance";"Angle";"Precision";"TargetDistanceScaled"
"13";6;760.958;146.598;149.318;-0.115225;-0.699816;-0.247435;0.660118;1634;"2019-09-18T10:57:29";0.866901672;-0.498442592;0.006039387;"HMD";"L";"W";7;1;669.139130770738;43.2528507006283;"uncertain";-0.133062180731796
"13";6;669.068;159.202;627.641;-0.100191;-0.855099;-0.124982;0.493099;10229;"2019-09-18T10:57:38";0.818253058;-0.312552236;0.482465576;"HMD";"L";"W";7;1;779.377140195579;65.8910941811972;"miss";0.267214856991943
"13";6;891.783;945.682;129.019;0.0764106;-0.783958;-0.0421943;0.614647;19333;"2019-09-18T10:57:47";0.970163031;0.027773974;0.240857427;"HMD";"L";"W";7;1;1144.95029397619;44.1463383373003;"uncertain";1.59462034834739
"13";6;140.449;587.611;896.857;0.333102;-0.785715;0.0449521;0.519301;28724;"2019-09-18T10:57:57";0.786098512;0.416599805;0.456611138;"HMD";"L";"W";7;1;920.009480428316;51.7019186276866;"uncertain";0.777854488913962
"13";6;167.662;891.226;167.235;0.145159;-0.531888;0.0525126;0.832626;36673;"2019-09-18T10:58:05";0.870482543;0.297588075;-0.392047803;"HMD";"L";"W";7;1;772.396707448575;65.3523925019436;"miss";0.241868726772623
"13";6;214.055;562.647;156.625;0.442792;-0.435045;0.310508;0.7199;46116;"2019-09-18T10:58:15";0.351396827;0.907701704;-0.22934229;"HMD";"L";"W";7;1;456.976542126507;36.6137849536742;"uncertain";-0.903429978022379
"13";6;239.595;109.722;161.403;0.451247;0.132783;0.864125;-0.178977;55780;"2019-09-18T10:58:25";-0.732337449;-0.391007903;-0.557489623;"HMD";"L";"W";7;1;157.847057042947;31.3921151713412;"uncertain";-1.98957680532616
"13";6;195.735;925.013;111.306;-0.956885;0.187676;-0.0457228;0.216928;62540;"2019-09-18T10:58:32";-0.168927363;-0.397988347;0.901703289;"HMD";"L";"W";7;1;806.464304150555;44.3444405943599;"uncertain";0.365569043581527
"13";6;225.202;115.381;128.474;-0.785463;0.243807;-0.395766;0.408626;86364;"2019-09-18T10:58:56";-0.82097093;-0.448940205;0.352788074;"HMD";"L";"W";7;1;134.232470269899;34.3540331585947;"uncertain";-2.07532197516279
"13";6;206.741;156.493;148.11;0.403445;0.453889;0.543927;-0.579104;105843;"2019-09-18T10:59:16";0.086808517;-0.961037118;-0.262434639;"HMD";"L";"W";7;1;125.652797033729;68.1101375625479;"miss";-2.10647498858829
"14";5;672.904;156.864;613.102;0.246243;-0.656361;-0.381451;0.602536;15583;"2019-09-17T13:56:26";0.978821663;-0.203998601;-0.017109121;"HMD";"L";"W";6;0;772.435973508083;54.6269710263232;"uncertain";0.242011302841121
"14";5;141.759;583.362;881.857;0.573966;-0.271689;0.250954;0.730596;50998;"2019-09-17T13:57:02";0.108911633;0.975037111;-0.193496484;"HMD";"L";"W";6;0;905.006382354666;14.5709175029601;"hit";0.723377855265259
"14";5;195.964;948.491;111.915;0.521696;0.14608;0.647149;0.536369;76374;"2019-09-17T13:57:27";-0.831935977;0.370572214;-0.412987608;"HMD";"L";"W";6;0;829.792510923001;74.1053304403886;"miss";0.450274360295794
"14";6;760.474;145.605;147.92;0.142009;-0.452868;-0.587155;0.655738;41689;"2019-09-17T13:58:17";0.760688634;-0.345566268;-0.549487722;"HMD";"L";"W";6;1;668.529808249714;36.7190380932633;"uncertain";-0.135274646423135
"14";6;671.925;156.456;620.151;0.288646;-0.597226;-0.386059;0.641064;53725;"2019-09-17T13:58:29";0.988588937;-0.091047825;-0.120009194;"HMD";"L";"W";6;1;776.363568522145;47.6297428025545;"uncertain";0.256272501005074
"14";6;898.628;922.304;127.181;0.32176;-0.412511;-0.252985;0.81382;62786;"2019-09-17T13:58:38";0.834220957;0.3149915;-0.452609931;"HMD";"L";"W";6;1;1133.12312151436;29.7697233467335;"hit";1.55167558199711
"14";6;141.144;57.931;875.032;0.502298;-0.339157;-0.00251584;0.795401;73886;"2019-09-17T13:58:49";0.542059128;0.797350268;-0.265338373;"HMD";"L";"W";6;1;776.441768498758;52.7676794956697;"uncertain";0.256556447124495
"14";6;167.762;880.722;166.837;0.1617;-0.230478;-0.164168;0.9454;96485;"2019-09-17T13:59:11";0.48888008;0.230068299;-0.841465891;"HMD";"L";"W";6;1;761.954883004289;59.8532108436244;"uncertain";0.203954194581801
"14";6;214.758;559.419;154.577;0.420342;-0.0737475;0.293238;0.855503;106415;"2019-09-17T13:59:21";-0.12033808;0.762458824;-0.635747818;"HMD";"L";"W";6;1;453.83575232564;43.7010151201321;"uncertain";-0.914834266290676
"14";6;239.477;112.145;161.217;0.282519;0.0588018;0.662696;0.691057;117013;"2019-09-17T13:59:32";-0.45571903;0.312537904;-0.833450793;"HMD";"L";"W";6;1;157.451926026262;58.5015881040441;"uncertain";-1.99101153617532
"14";6;194.238;93.921;110.37;0.542071;0.189862;0.57141;0.586176;133162;"2019-09-17T13:59:48";-0.842074474;0.41851983;-0.340223062;"HMD";"L";"W";6;1;105.440889100004;29.4269490603873;"hit";-2.17986494434554
"14";6;224.336;119.762;128.848;0.473436;0.202291;0.678788;0.523626;170976;"2019-09-17T14:00:26";-0.854574466;0.221181252;-0.469873745;"HMD";"L";"W";6;1;133.21058519059;28.0163673267238;"hit";-2.07903246607763
"14";6;202.663;157.593;148.575;-0.215942;-0.367241;-0.892663;-0.14716;196250;"2019-09-17T14:00:51";-0.493613141;-0.59208874;-0.637006272;"HMD";"L";"W";6;1;122.460087776791;32.8274538643552;"uncertain";-2.11806779773232
"15";5;678.577;157.765;614.887;-0.11286;-0.701871;-0.307082;0.632725;23164;"2019-09-16T14:23:59";0.818867649;-0.573882266;0.010719994;"HMD";"L";"W";10;0;777.909289197127;79.3130860046048;"miss";0.261885052394184
"15";5;140.774;591.227;881.569;0.174213;-0.74933;0.0858797;0.633071;38915;"2019-09-16T14:24:15";0.918835619;0.349282926;0.183691435;"HMD";"L";"W";10;0;908.716301726265;59.7217232690155;"uncertain";0.736848667592199
